B-001-020-002;The operator of an amateur station shall ensure that:;communications are limited to messages of a technical or personal nature;communications are exchanged only with commercial stations;all communications are conducted in secret code;charges are properly applied to all third-party communications;L'opérateur d'une station de radioamateur doit s'assurer que :;les communications sont limitées aux messages d'ordre technique ou de nature personnelle;les communications sont échangées avec des stations commerciales seulement;toutes les communications sont effectuées en code secret;les tarifs doivent être appliqués convenablement à toutes les communications pour le compte d'une tierce personne
B-001-020-003;Which of the following is not a provision of the ITU Radio Regulations which apply to Canadian radio amateurs?;Transmissions between countries shall not include any messages of a technical nature, or remarks of a personal character;It is forbidden to transmit international messages on behalf of third parties, unless those countries make special arrangements;Radiocommunications between countries shall be forbidden, if the administration of one of the countries objects;Administrations shall take such measures as they judge necessary to verify the operational and technical qualifications of amateurs;Laquelle des réponses suivantes ne fait pas partie des Règlements de l'Union internationale des télécommunications applicables aux radioamateurs canadiens?;Les radiocommunications faites entre pays ne doivent pas être des messages de nature technique ou des remarques personnelles;Il est interdit de transmettre des messages internationaux au nom d'un tiers à moins que les pays en cause ne l'aient permis;Les radiocommunications entre deux pays sont interdites si l'administration de l'un des deux pays s'y oppose;Les administrations doivent prendre les mesures nécessaires pour vérifier les compétences des radioamateurs
B-001-020-004;The ITU Radio Regulations limit those radio amateurs, who have not demonstrated proficiency in Morse code, to frequencies above:;none of the other answers;1.8 MHz;3.5MHz;28 MHz;Par ses règlements, l'Union internationale des télécommunications limite les radioamateurs qui n'ont pas démontré leur compétence en code Morse aux fréquences supérieures à :;aucune des autres réponses;1,8 MHz;3,5 MHz;28 MHz
B-001-020-005;In addition to complying with the Radiocommunication Act and Regulations, Canadian radio amateurs must also comply with the regulations of the:;International Telecommunication Union;American Radio Relay League;Radio Amateurs of Canada Inc.;International Amateur Radio Union;En plus de se soumettre à la Loi et au Règlement sur la radiocommunication, les radioamateurs canadiens doivent aussi se soumettre aux règlements de :;l'Union internationale des télécommunications;la Ligue américaine de radio ("American Radio Relay League" ou ARRL);Radio amateurs du Canada inc. (RAC);l'Union internationale des radioamateurs
B-001-021-001;In which International Telecommunication Union Region is Canada?;Region 2;Region 4;Region 3;Region 1;Dans quelle région de l'Union internationale des télécommunications se situe le Canada?;Région 2;Région 4;Région 3;Région 1
B-001-021-002;A Canadian radio amateur, operating his station in the state of Florida, is subject to which frequency band limits?;Those applicable to US radio amateurs;ITU Region 2;ITU Region 3;ITU Region 1;Un radioamateur canadien qui opère sa station en Floride est assujetti à quelles limites dans les bandes de fréquences?;À celles applicables aux radioamateurs américains;À celles stipulées pour la région 2 de l'UIT;À celles stipulées pour la région 3 de l'UIT;À celles stipulées pour la région 1 de l'UIT
B-001-021-003;A Canadian radio amateur, operating his station 7 kilometres (4 miles) offshore from the coast of Florida, is subject to which frequency band limits?;Those applicable to US radio amateurs;Those applicable to Canadian radio amateurs;ITU Region 1;ITU Region 2;Un radioamateur canadien qui opère sa station à 7 kilomètres (4 milles) au large des côtes de la Floride est assujetti à quelles limites dans les bandes de fréquences?;À celles applicables aux radioamateurs américains;À celles applicables aux radioamateurs canadiens;À celles stipulées pour la région 1 de l'UIT;À celles stipulées pour la région 2 de l'UIT
B-001-021-004;Australia, Japan, and Southeast Asia are in which ITU Region?;Region 3;Region 1;Region 2;Region 4;L'Australie, le Japon et le Sud-Est asiatique appartiennent à quelle région de l'Union internationale des télécommunications?;Région 3;Région 1;Région 2;Région 4
B-001-021-005;Canada is located in ITU Region:;Region 2;Region 1;Region 3;Region 4;Le Canada se trouve dans quelle région de l'UIT?;Région 2;Région 1;Région 3;Région 4
B-001-022-001;Which of these statements is not correct?;The fee for taking an examination for an Amateur Radio Operator Certificate at an Innovation, Science and Economic Development Canada office is $5 per qualification;An accredited examiner  may recover the cost of administering an examination;An accredited volunteer examiner must hold an Amateur Radio Operator Certificate with Basic, Advanced, and Morse code qualifications;There are no fees for taking an examination for an Amateur Radio Operator Certificate at an Innovation, Science and Economic Development Canada office.;Lequel des énoncés suivants est faux?;Les frais pour passer un examen de radioamateur au bureau d'Innovation, Sciences et Développement économique Canada sont de 5 $ par compétence;Un examinateur accrédité peut récupérer les frais encourus pour l'administration d'un examen;Un examinateur accrédité doit détenir un Certificat d'opérateur radioamateur avec compétence de base, supérieure et en code Morse;Il n'y a pas de frais pour passer un examen de radioamateur au bureau d'Innovation, Sciences et Développement économique Canada.
B-001-022-002;Which of the following statements is not correct?;A disabled candidate must pass a normal amateur radio certificate examination before being granted any qualification;A disabled candidate, taking a Morse code sending test, may be allowed to recite the examination text in Morse code sounds;Examinations for disabled candidates may be given orally, or tailored to the candidate's ability to complete the examination;An accredited examiner may recover the cost of administering an examination.;Laquelle des réponses suivantes n'est pas correcte?;Un candidat handicapé doit subir l'examen régulier pour obtenir l'une ou l'autre des compétences en radioamateur;Un candidat handicapé pourrait passer l'examen d'émission du code Morse en disant les sons qui identifient chaque lettre;Pour le candidat handicapé, l'examen peut être passé oralement ou complété en tenant compte de son handicap;Un examinateur accrédité peut recouvrer les frais encourus pour l'administration d'un examen
