B-003-009-002;In a Yagi 3 element directional antenna, the ________ is the longest radiating element.;reflector;director;driven element;boom;Dans une antenne directionnelle Yagi à 3 éléments, _______ est l'élément rayonnant le plus long.;le réflecteur;le directeur;l'élément alimenté;le bras de support ("boom")
B-003-009-003;In a Yagi 3 element directional antenna, the ______________ is the shortest radiating element.;director;boom;reflector;driven element;Dans une antenne directionnelle Yagi à 3 éléments, ________ est l'élément rayonnant le plus court.;le directeur;le bras de support ("boom");le réflecteur;l'élément alimenté
B-003-009-004;In a Yagi 3 element directional antenna, the ______________is not the longest nor the shortest radiating element.;driven element;boom;director;reflector;Dans une antenne directionnelle Yagi à 3 éléments, ________ n'est pas l'élément rayonnant le plus long, ni le plus court.;l'élément alimenté;le bras de support ("boom");le directeur;le réflecteur
B-003-010-001;Which list of emission types is in order from the narrowest bandwidth to the widest bandwidth?;CW, RTTY, SSB voice, FM voice;CW, SSB voice, RTTY, FM voice;CW, FM voice, RTTY, SSB voice;RTTY, CW, SSB voice, FM voice;Quel est l'ordre des modes d'émissions de la largeur de bande la plus étroite jusqu'à la plus large?;CW, RTTY, phonie en BLU et phonie en FM;CW, phonie en BLU, RTTY et phonie en FM;CW, phonie en FM, RTTY et phonie en BLU;RTTY, CW, phonie en BLU et phonie en FM
B-003-010-002;The figure in a receiver's specifications which indicates its sensitivity is the:;RF input signal needed to achieve a given signal plus noise to noise ratio;audio output in watts;bandwidth of the IF in kilohertz;number of RF amplifiers;La sensibilité d'un récepteur se définit comme étant :;le signal RF requis à l'entrée pour obtenir un rapport signal plus bruit sur bruit spécifié;la puissance de sortie audio en watts;la largeur de bande de l'étage FI en kilohertz;le nombre d'étages d'amplification RF
B-003-010-003;If two receivers of different sensitivity are compared, the less sensitive receiver will produce:;less signal or more noise;a steady oscillator drift;more than one signal;more signal or less noise;Si l'on compare deux récepteurs de sensibilité différente, le moins sensible est celui qui donne :;moins de signal ou plus de bruit;une dérive constante de l'oscillateur;plusieurs signaux;plus de signal ou moins de bruit
B-003-010-004;Which of the following modes of transmission is usually detected with a product detector?;Single sideband suppressed carrier;Double sideband full carrier;Frequency modulation;Pulse modulation;Lequel des modes d'émission suivants est généralement démodulé à l'aide d'un détecteur de produit?;Bande latérale unique - porteuse supprimée;Porteuse intégrale avec double bande latérale;Modulation de fréquence;Modulation par impulsions
B-003-010-005;A receiver designed for SSB reception must have a BFO (beat frequency oscillator) because:;the suppressed carrier must be replaced for detection;it beats with the received carrier to produce the other sideband;it reduces the passband of the IF stages;it phases out the unwanted sideband signal;Un récepteur conçu pour la réception en BLU doit comporter un oscillateur de battement ("BFO") pour :;réintroduire la porteuse pour permettre la détection;produire un battement avec la porteuse reçue afin de produire la deuxième bande latérale;diminuer la bande passante des étages FI;éliminer par déphasage le signal BLU indésirable
B-003-010-006;A receiver receives an incoming signal of 3.54 MHz, and the local oscillator produces a signal of 3.995 MHz. To which frequency should the IF be tuned?;455 kHz;7.435 MHz;3.995 MHz;3.54 MHz;Un récepteur reçoit un signal à 3,54 MHz. Son oscillateur local fournit un signal à 3,995 MHz. Sur quelle fréquence doit être accordé son étage FI?;455 kHz;7,435 MHz;3,995 MHz;3,54 MHz
B-003-010-007;What kind of filter would you use to attenuate an interfering carrier signal while receiving an SSB transmission?;A notch filter;A band pass filter;An all pass filter;A pi-network filter;Quel genre de filtre peut-on employer pour atténuer le signal d'une porteuse qui interfère lors de la réception d'une émission en BLU?;Un filtre coupe-bande;Un filtre passe-bande;Un filtre passe-tout;Un filtre en pi
B-003-010-008;The three main parameters against which the quality of a receiver is measured are:;sensitivity, selectivity and stability;selectivity, stability and frequency range;sensitivity, stability and cross-modulation;sensitivity, selectivity and image rejection;Les trois principaux paramètres de la qualité d'un récepteur sont :;la sensibilité, la sélectivité et la stabilité;la sélectivité, la stabilité et la gamme de fréquences;la sensibilité, la stabilité et la transmodulation;la sensibilité, la sélectivité et le rejet de la fréquence image
B-003-010-009;A communications receiver has four filters installed in it, respectively designated as 250 Hz, 500 Hz, 2.4 kHz, and 6 kHz. If you were listening to single sideband, which filter would you utilize?;2.4 kHz;250 Hz;6 kHz;500 Hz;Un récepteur est muni de quatre filtres : un de 250 Hz, un de 500 Hz, un de 2,4 kHz et un de 6 kHz. Si vous écoutiez un signal en BLU, quel filtre utiliseriez-vous?;2,4 kHz;250 Hz;6 kHz;500 Hz
B-003-010-010;A communications receiver has four filters installed in it, respectively designated as 250 Hz, 500 Hz, 2.4 kHz and 6 kHz. You are copying a CW transmission and there is a great deal of interference. Which one of the filters would you choose?;250 Hz;500 Hz;2.4 kHz;6 kHz;Un récepteur est muni de quatre filtres : un de 250 Hz, un de 500 Hz, un de 2,4 kHz et un de 6 kHz. Si vous écoutiez une émission en code Morse et qu'il y avait beaucoup de brouillage, quel filtre utiliseriez-vous?;250 Hz;500 Hz;2,4 kHz;6 kHz
B-003-010-011;Selectivity can be placed in the audio stages of a receiver by the utilization of RC active or passive audio filters. If you were to copy CW, which of the following bandpasses would you choose?;750 - 850 Hz;2100 - 2300 Hz;300 - 2700 Hz;100 - 1100 Hz;On peut augmenter la sélectivité des étages audio d'un récepteur en utilisant un filtre audio RC, actif ou passif. Si vous écoutiez une émission en code Morse, laquelle des bandes passantes suivantes choisiriez-vous?;750 à 850 Hz;2 100 à 2 300 Hz;300 à 2 700 Hz;100 à 1 100 Hz
B-003-011-001;What does chirp mean?;A small change in a transmitter's frequency each time it is keyed;A high-pitched tone which is received along with a CW signal;A slow change in transmitter frequency as the circuit warms up;An overload in a receiver's audio circuit whenever CW is received;Qu'est-ce que le pépiement ("chirp")?;Un léger changement dans la fréquence d'émission chaque fois que la porteuse est manipulée;Une tonalité très haute accompagnant le signal du code Morse;Un changement lent de la fréquence d'émission à mesure que le circuit se réchauffe;Une surcharge de l'étage audio du récepteur chaque fois que l'on écoute du code Morse
B-003-011-002;What can be done to keep a CW transmitter from chirping?;Keep the power supply voltages very steady under transmit load;Add a key-click filter;Keep the power supply current very steady under transmit load;Add a low pass filter;Comment est-il possible d'empêcher le pépiement ("chirp") lors d'émissions en code Morse?;En gardant très stable la tension fournie par le bloc d'alimentation quand l'émetteur est activé;En ajoutant un filtre de claquements de manipulation;En gardant très stable le courant fourni par le bloc d'alimentation quand l'émetteur est activé;En ajoutant un filtre passe-bas
B-003-011-003;What circuit has a variable-frequency oscillator connected to a buffer/driver and a power amplifier?;A VFO-controlled CW transmitter;A crystal-controlled AM transmitter;A single-sideband transmitter;A digital radio transmitter;Quel circuit possède un oscillateur à fréquence variable raccordé à un étage d'attaque / tampon et à un amplificateur de puissance?;Un émetteur CW dont l'oscillateur est à fréquence variable;Un émetteur AM à cristal;Un émetteur à bande latérale unique;Un émetteur radio numérique
B-003-011-004;What type of modulation system changes the amplitude of an RF wave for the purpose of conveying information?;Amplitude modulation;Phase modulation;Amplitude-rectification modulation;Frequency modulation;Quel genre de modulation modifie l'amplitude d'une radiofréquence pour qu'elle puisse véhiculer l'information?;La modulation en amplitude;La modulation en phase;La modulation d'amplitude redressée;La modulation en fréquence
B-003-011-005;In what emission type does the instantaneous amplitude (envelope) of the RF signal vary in accordance with the modulating audio?;Amplitude modulation;Frequency modulation;Pulse modulation;Frequency shift keying;Dans quel genre d'émission l'amplitude instantanée (l'enveloppe) du signal RF varie-t-elle en même temps que la modulation du signal audio?;La modulation d'amplitude;La modulation de fréquence;La modulation par impulsions;La modulation par déplacement de fréquence
B-003-011-006;Morse code is usually transmitted by radio as:;an interrupted carrier;a series of key-clicks;a continuous carrier;a voice-modulated carrier;Le code Morse est généralement transmis sur les ondes sous forme :;d'une porteuse interrompue;d'une série de claquements de manipulation;d'une porteuse continue;d'une porteuse modulée par la voix
B-003-011-007;A mismatched antenna or transmission line may present an incorrect load to the transmitter. The result may be:;full power will not be transferred to the antenna;loss of modulation in the transmitted signal;the driver stage will not deliver power to the final;the output tank circuit breaks down;Une ligne de transmission ou une antenne qui n'est pas adaptée peut représenter une charge incorrecte pour l'émetteur. Ceci a pour résultat :;la pleine puissance ne peut être acheminée à l'antenne;une perte de modulation du signal émis;une baisse de la puissance transférée de l'étage d'attaque à l'amplificateur de puissance;des dommages au circuit résonant de sortie
B-003-011-008;One result of a slight mismatch between the power amplifier of a transmitter and the antenna would be:;reduced antenna radiation;smaller DC current drain;lower modulation percentage;radiated key-clicks;Un léger défaut d'adaptation d'impédance entre l'amplificateur de puissance d'un émetteur et son antenne se traduit par :;une diminution du rayonnement de l'antenne;une consommation de courant continu plus faible;un taux de modulation plus faible;l'émission de claquements de manipulation
B-003-011-009;An RF oscillator should be electrically and mechanically stable. This is to ensure that the oscillator does not:;drift in frequency;become over modulated;generate key-clicks;cause undue distortion;Un oscillateur RF doit avoir une bonne stabilité électrique et mécanique pour ne pas provoquer de :;dérive en fréquence;surmodulation;génération de claquements de manipulation;distorsion trop élevée
B-003-011-010;The input power to the final stage of your transmitter is 200 watts and the output is 125 watts. What has happened to the remaining power?;It has been dissipated as heat loss;It has been used to provide greater efficiency;It has been used to provide negative feedback;It has been used to provide positive feedback;La puissance d'entrée à l'étage final d'un émetteur est de 200 watts et la sortie est de 125 watts. Où est passée la puissance restante?;Elle a été dissipée sous forme de perte de chaleur;Elle a été utilisée pour produire un meilleur rendement;Elle a été utilisée pour fournir une rétroaction ("feedback") négative;Elle a été utilisée pour fournir une rétroaction ("feedback") positive
B-003-011-011;The difference between DC input power and RF output power of a transmitter RF amplifier:;appears as heat dissipation;is lost in the transmission line;is due to oscillating;radiates from the antenna;La différence entre la puissance CC consommée par l'amplificateur RF d'un émetteur et la puissance de sortie RF de cet amplificateur est :;dissipée en chaleur;dissipée dans la ligne de transmission;due à la présence de courants oscillants;la puissance rayonnée par l'antenne
B-003-012-001;What may happen if an SSB transmitter is operated with the microphone gain set too high?;It may cause splatter interference to other stations operating near its frequency;It may cause interference to other stations operating on a higher frequency band;It may cause atmospheric interference in the air around the antenna;It may cause digital interference to computer equipment;Qu'arrive-t-il si vous émettez en BLU alors que le gain de l'amplificateur microphonique est trop élevé?;Ça pourrait brouiller les autres stations qui émettent sur une fréquence située à proximité;Ça pourrait brouiller les autres stations qui émettent sur une bande supérieure de fréquences;Ça pourrait produire du brouillage dans l'environnement immédiat de votre antenne;Ça pourrait produire du brouillage dans les composants de l'ordinateur
B-003-012-002;What may happen if an SSB transmitter is operated with too much speech processing?;It may cause audio distortion or splatter interference to other stations operating near its frequency;It may cause digital interference to computer equipment;It may cause atmospheric interference in the air around the antenna;It may cause interference to other stations operating on a higher frequency band;Qu'arrive-t-il si vous émettez en BLU alors que le réglage du processeur de voix est trop élevé?;Ça pourrait produire de la distorsion ou brouiller les autres stations qui émettent sur une fréquence située à proximité;Ça pourrait produire du brouillage dans les composants de l'ordinateur;Ça pourrait produire du brouillage dans l'environnement immédiat de votre antenne;Ça pourrait brouiller les autres stations qui émettent sur une bande supérieure de fréquences
B-003-012-003;What is the term for the average power supplied to an antenna transmission line during one RF cycle, at the crest of the modulation envelope?;Peak envelope power;Peak output power;Average radio-frequency power;Peak transmitter power;Quel terme décrit la puissance moyenne fournie au connecteur d'antenne d'un amplificateur RF durant un cycle complet, mesurée au sommet de l'enveloppe modulée?;La puissance en crête de modulation;La puissance de crête de sortie;La puissance moyenne de la fréquence radio;La puissance de crête de l'émetteur
B-003-012-004;What is the usual bandwidth of a single-sideband amateur signal?;Between 2 and 3 kHz;1 kHz;2 kHz;Between 3 and 6 kHz;Quelle est la largeur de bande généralement occupée par les radioamateurs pour émettre en bande latérale unique?;Entre 2 et 3 kHz;1 kHz;2 kHz;Entre 3 et 6 kHz
B-003-012-005;In a typical single-sideband phone transmitter, what circuit processes signals from the balanced modulator and sends signals to the mixer?;Filter;IF amplifier;RF amplifier;Carrier oscillator;Dans un émetteur à bande latérale unique typique, quel circuit reçoit les signaux du modulateur équilibré, et transmet ces signaux au mélangeur?;Le filtre;L'amplificateur FI;L'amplificateur RF;L'oscillateur de la porteuse
B-003-012-006;What is one advantage of carrier suppression in a double-sideband phone transmission?;More power can be put into the sidebands for a given power amplifier capacity;Only half the bandwidth is required for the same information content;Greater modulation percentage is obtainable with lower distortion;Simpler equipment can be used to receive a double-sideband suppressed-carrier signal;Quel est le principal avantage de la suppression de l'onde porteuse dans une émission en phonie à double bande latérale?;Un amplificateur donné pourra diriger plus de puissance dans les bandes latérales;Seulement la moitié de la largeur de bande est requise pour véhiculer l'information;Un pourcentage plus élevé de modulation avec moins de distorsion;Un équipement sommaire suffit pour recevoir les signaux des deux bandes lorsque la porteuse a été supprimée
B-003-012-007;What happens to the signal of an overmodulated single-sideband or double-sideband phone transmitter?;It becomes distorted and occupies more bandwidth;It becomes stronger with no other effects;It occupies less bandwidth with poor high-frequency response;It has higher fidelity and improved signal-to-noise ratio;En phonie, qu'arrive-t-il lorsque le signal en bande latérale unique ou à double bande est surmodulé?;Le signal souffre de distorsion et occupe une plus grande largeur de bande;Le signal est plus fort et il n'y a pas d'autres effets;Le signal occupe une largeur de bande plus étroite et les hautes fréquences sont atténuées;La fidélité du signal est rehaussée et le rapport signal/bruit est amélioré
B-003-012-008;How should the microphone gain control be adjusted on a single-sideband phone transmitter?;For slight movement of the ALC meter on modulation peaks;For full deflection of the ALC meter on modulation peaks;For 100% frequency deviation on modulation peaks;For a dip in plate current;Comment faut-il ajuster le gain de l'amplificateur microphonique d'un émetteur à bande latérale unique utilisé pour la phonie?;Pour que l'indicateur de la commande automatique de niveau ("ALC") bouge légèrement lors des crêtes de modulation;Pour que l'indicateur de la commande automatique de niveau ("ALC") donne une lecture pleine échelle lors des crêtes de modulation;Pour une excursion de fréquence de 100% lors des crêtes de modulation;Pour qu'il produise une chute ("dip") dans le courant de plaque
B-003-012-009;The purpose of a balanced modulator in an SSB transmitter is to:;suppress the carrier and pass on the two sidebands;make sure that the carrier and both sidebands are 180 degrees out of phase;ensure that the percentage of modulation is kept constant;make sure that the carrier and both sidebands are in phase;Le rôle du modulateur équilibré d'un émetteur BLU est :;de supprimer l'onde porteuse et de laisser passer les deux bandes latérales;d'introduire un déphasage de 180 degrés entre l'onde porteuse et les deux bandes latérales;de garder constant le taux de modulation;de mettre en phase les deux bandes latérales et l'onde porteuse
B-003-012-010;In a SSB transmission, the carrier is:;reinserted at the receiver;transmitted with one sideband;inserted at the transmitter;of no use at the receiver;Dans une émission BLU, la porteuse :;est réinsérée dans le récepteur;est transmise avec une bande latérale;est insérée dans l'émetteur;n'est d'aucune utilité dans le récepteur
B-003-012-011;The automatic level control (ALC) in a SSB transmitter:;controls the peak audio input so that the power amplifier is not overdriven;reduces transmitter audio feedback;increases the occupied bandwidth;reduces the system noise;Dans une émission BLU, la commande automatique de niveau ("ALC") :;contrôle la crête du signal d'entrée audio pour éviter de livrer un signal d'attaque trop fort à l'amplificateur de puissance;réduit la rétroaction audio de l'émetteur;augmente la largeur de la bande occupée;réduit le bruit du système
B-003-013-001;What may happen if an FM transmitter is operated with the microphone gain or deviation control set too high?;It may cause interference to other stations operating near its frequency;It may cause digital interference to computer equipment;It may cause atmospheric interference in the air around the antenna;It may cause interference to other stations operating on a higher frequency band;Qu'arrive-t-il si vous émettez en FM alors que le gain de l'amplificateur microphonique ou que le réglage d'excursion de fréquence est trop élevé?;Ça pourrait brouiller les autres stations qui émettent sur des fréquences situées à proximité;Ça pourrait produire du brouillage dans les composants de l'ordinateur;Ça pourrait produire du brouillage dans l'environnement immédiat de votre antenne;Ça pourrait brouiller les autres stations qui émettent sur une bande supérieure de fréquences
B-003-013-002;What may your FM hand-held or mobile transceiver do if you shout into its microphone and the deviation adjustment is set too high?;It may cause interference to other stations operating near its frequency;It may cause digital interference to computer equipment;It may cause atmospheric interference in the air around the antenna;It may cause interference to other stations operating on a higher frequency band;Que peut-il se produire si vous criez dans le microphone de votre émetteur FM mobile ou portatif et que le réglage d'excursion de fréquence est trop élevé?;Brouiller les stations qui émettent sur une fréquence voisine;Produire du brouillage dans les composants d'un ordinateur;Brouiller l'atmosphère dans l'environnement immédiat de l'antenne;Brouiller les stations qui opèrent sur une bande supérieure de fréquences
B-003-013-003;What can you do if you are told your FM hand-held or mobile transceiver is overdeviating?;Talk farther away from the microphone;Talk louder into the microphone;Let the transceiver cool off;Change to a higher power level;Que faire si on rapporte une surexcursion ("overdeviation") sur votre signal quand vous utilisez votre émetteur FM mobile ou portatif?;Éloigner légèrement le microphone de votre bouche;Parler plus fort dans le microphone;Laisser refroidir l'émetteur;Augmenter la puissance
B-003-013-004;What kind of emission would your FM transmitter produce if its microphone failed to work?;An unmodulated carrier;A frequency-modulated carrier;An amplitude-modulated carrier;A phase-modulated carrier;Quel genre d'émission sera produite par votre émetteur FM si le microphone ne fonctionne pas?;Une porteuse non modulée;Une porteuse modulée en fréquence;Une porteuse modulée en amplitude;Une porteuse modulée en phase
