B-003-014-004;Why might a dummy antenna get warm when in use?;Because it changes RF energy into heat;Because it absorbs static electricity;Because it stores radio waves;Because it stores electric current;Pourquoi une antenne fictive peut-elle chauffer lorsqu'on l'utilise?;Parce qu'elle transforme l'énergie RF en chaleur;Parce qu'elle absorbe l'électricité statique;Parce qu'elle emmagasine les ondes radio;Parce qu'elle emmagasine le courant électrique
B-003-014-005;What is the circuit called which causes a transmitter to automatically transmit when an operator speaks into its microphone?;VOX;VXO;VCO;VFO;Comment appelle-t-on le circuit qui active l'émetteur automatiquement quand l'opérateur parle dans son microphone?;VOX;VXO;VCO;VFO
B-003-014-006;What is the reason for using a properly adjusted speech processor with a single-sideband phone transmitter?;It improves signal intelligibility at the receiver;It reduces average transmitter power requirements;It reduces unwanted noise pickup from the microphone;It improves voice frequency fidelity;Pour quelle raison faut-il employer un processeur de voix bien ajusté lorsqu'on émet en phonie à bande latérale unique?;Il rend plus intelligible la réception du signal;Il nécessite moins de puissance pour émettre;Il réduit les bruits non désirés captés par le microphone;Il améliore la fidélité spectrale de la voix
B-003-014-007;If a single-sideband phone transmitter is 100% modulated, what will a speech processor do to the transmitter's power?;It will add nothing to the output Peak Envelope Power (PEP);It will increase the output PEP;It will decrease the peak power output;It will decrease the average power output;Si un émetteur BLU est modulé à 100 % en phonie, quel effet a le processeur de voix sur la puissance d'émission?;Il n'ajoute rien à la puissance en crête de modulation ("PEP");Il augmente la puissance en crête de modulation ("PEP");Il diminue la puissance crête de sortie;Il diminue la puissance de sortie moyenne
B-003-014-008;When switching from receive to transmit:;the receiver should be muted;the transmit oscillator should be turned off;the receiving antenna should be connected;the power supply should be off;Lorsqu'on passe de la réception à l'émission, il faut :;désactiver le récepteur;couper l'oscillateur d'émission;brancher l'antenne de réception;mettre le bloc d'alimentation hors tension
B-003-014-009;A switching system to enable the use of one antenna for a transmitter and receiver should also:;disable the unit not being used;ground the antenna on receive;switch between meters;disconnect the antenna tuner;Un dispositif de commutation qui permet d'utiliser la même antenne pour deux appareils (un émetteur et un récepteur) doit aussi :;désactiver l'appareil non utilisé;mettre l'antenne à la terre pour la réception;commuter les instruments de mesure;débrancher le bloc d'accord d'antenne
B-003-014-010;An antenna changeover switch in a transmitter-receiver combination is necessary:;so that one antenna can be used for transmitter and receiver;to change antennas for operation on other frequencies;to prevent RF currents entering the receiver circuits;to allow more than one transmitter to be used;Le commutateur d'antenne dans un ensemble émetteur-récepteur sert à :;permettre de n'utiliser qu'une seule antenne pour l'émetteur et pour le récepteur;passer d'une antenne à une autre pour changer la fréquence d'opération;empêcher l'entrée de courants RF dans les circuits du récepteur;permettre l'utilisation de plusieurs émetteurs
B-003-014-011;Which of the following components could be used as a dynamic microphone?;Loudspeaker;Crystal earpiece;Resistor;Capacitor;Lequel des composants suivants pourrait être utilisé comme microphone dynamique :;un haut-parleur;un écouteur à cristal;une résistance;un condensateur
B-003-015-001;What does "connected" mean in an AX.25 packet-radio link?;A transmitting station is sending data to only one receiving station, it replies that the data is being received correctly;A telephone link is working between two stations;A message has reached an amateur station for local delivery;A transmitting and receiving station are using a digipeater, so no other contacts can take place until they are finished;Que signifie "connected" (lien établi) dans le contexte de radiocommunications par paquets sous le protocole AX.25?;Une station émettrice transmet des données à une seule station réceptrice, celle-ci accuse réception des données;Un lien téléphonique est établi entre deux stations;Un message a rejoint sa destination pour distribution locale;Deux stations ont l'usage exclusif d'un répéteur numérique pour paquets ("digipeater"), aucune autre communication ne peut être acheminée pendant ce temps
B-003-015-002;What does "monitoring" mean on a packet-radio frequency?;A receiving station is displaying messages that may not be sent to it, and is not replying to any message;A member of the Amateur Auxiliary is copying all messages;A receiving station is displaying all messages sent to it, and replying that the messages are being received correctly;Innovation, Science and Economic Development Canada is monitoring all messages;Que signifie "monitoring" (être à l'écoute) dans le contexte de radiocommunications par paquets?;Une station réceptrice affiche des messages qui peuvent ne pas lui être destinés, et ne retourne aucun accusé de réception;Un membre du service auxiliaire transcrit tous les messages;Une station réceptrice affiche tous les messages qui lui sont destinés et retourne des accusés de réception;Innovation, Sciences et Développement économique Canada est à l'écoute de tous les messages
B-003-015-003;What is a digipeater?;A station that retransmits only data that is marked to be retransmitted;A repeater built using only digital electronics parts;A repeater that changes audio signals to digital data;A station that retransmits any data that it receives;Qu'est-ce qu'un répéteur numérique pour paquets ("digipeater")?;C'est une station radio qui retransmet seulement les données portant la mention "à retransmettre";C'est un répéteur fabriqué uniquement de composants numériques;C'est un répéteur qui change les signaux audio en données numériques;C'est une station radio qui retransmet toutes les données qu'elle reçoit
B-003-015-004;What does "network" mean in packet radio?;A way of connecting packet-radio stations so data can be sent over long distances;A way of connecting terminal-node controllers by telephone so data can be sent over long distances;The connections on terminal-node controllers;The programming in a terminal-node controller that rejects other callers if a station is already connected;Que signifie le mot "réseau", traduction de l'anglais "network", dans le contexte de radiocommunications par paquets?;Une façon de relier différentes stations pour transmettre des données sur une plus longue distance;Une façon de relier des contrôleurs de noeud terminal par téléphone pour couvrir une plus longue distance;Les branchements sur les contrôleurs de noeud terminal (TNC ou "terminal node controller");La programmation d'un contrôleur de noeud terminal qui refuse toutes données entrantes si un lien est déjà établi
B-003-015-005;In AX.25 packet-radio operation, what equipment connects to a terminal-node controller?;A transceiver, a computer and possibly a GPS receiver;A transceiver and a modem;A DTMF keypad, a monitor and a transceiver;A DTMF microphone, a monitor and a transceiver;En radiocommunication par paquets sous le protocole AX.25, quel équipement raccorde-t-on au contrôleur de noeud terminal (TNC ou "terminal node controller")?;Un émetteur-récepteur, un ordinateur et possiblement un récepteur GPS;Un émetteur-récepteur et un modem;Un pavé numérique multifréquence à deux tonalités ("DTMF keypad"), un écran et un émetteur-récepteur;Un microphone doté d'une fonction "DTMF", un écran et un émetteur-récepteur
B-003-015-006;How would you modulate a 2 meter FM transceiver to produce packet-radio emissions?;Connect a terminal-node controller to the transceiver's microphone input;Connect a terminal-node controller to interrupt the transceiver's carrier wave;Connect a keyboard to the transceiver's microphone input;Connect a DTMF key pad to the transceiver's microphone input;Comment peut-on moduler un émetteur-récepteur 2 mètres FM pour établir une radiocommunication par paquets?;Brancher un contrôleur de noeud terminal (TNC ou "terminal node controller") à l'entrée microphone de l'émetteur-récepteur;Brancher un contrôleur de noeud terminal pour interrompre l'onde porteuse de l'émetteur-récepteur;Brancher un clavier à l'entrée microphone de l'émetteur-récepteur;Brancher un pavé numérique multifréquence à deux tonalités ("DTMF keypad") à l'entrée microphone de l'émetteur-récepteur
B-003-015-007;When selecting a RTTY transmitting frequency, what minimum frequency separation from a contact in progress should you allow (center to center) to minimize interference?;250 to 500 Hz;Approximately 6 kHz;Approximately 3 kHz;60 Hz;Lorsque vous choisissez une fréquence pour émettre en RTTY, quel décalage minimal (séparation) de fréquence devriez-vous respecter pour éviter de brouiller un contact en cours?;250 à 500 Hz;Approximativement 6 kHz;Approximativement 3 kHz;60 Hz
B-003-015-008;Digital transmissions use signals called __________ to transmit the states 1 and 0:;mark and space;packet and AMTOR;Baudot and ASCII;dot and dash;Les émissions numériques utilisent des signaux nommés __________ pour émettre les états 1 et 0.;travail et repos;paquet et AMTOR;Baudot et ASCII;point et trait
B-003-015-009;Which of the following terms does not apply to packet radio?;Baudot;ASCII;Automatic Packet Reporting System (APRS);AX.25;Parmi les termes suivants, lequel ne s'applique pas à la radiocommunication par paquets?;Baudot;ASCII;APRS ("Automatic Packet Reporting System");AX.25
B-003-015-010;When using AMTOR transmissions, there are two modes that may be utilized. Mode A uses Automatic Repeat Request (ARQ) protocol and is normally used:;for communications after contact has been established;at all times. Mode B is for test purposes only;only when communications have been completed;when making a general call;Deux modes de transmission peuvent être utilisés dans le système AMTOR. Le mode A emploie la demande automatique de répétition ("ARQ, Automatic Repeat Request") et est normalement utilisé :;pour la communication une fois le contact établi;en tout temps, le mode B sert uniquement à des essais;seulement une fois la communication terminée;pour lancer un appel général
