A-001-001-001;What is the meaning of the term "time constant" in an RL circuit ?;The time required for the current in the circuit to build up to 63.2% of the maximum value;The time required for the current in the circuit to build up to 36.8% of the maximum value;The time required for the voltage in the circuit to build up to 63.2% of the maximum value;The time required for the voltage in the circuit to build up to 36.8% of the maximum value;Comment se définit la constante de temps dans un circuit RL ?;Le temps requis pour que le courant du circuit atteigne 63,2 % de sa valeur maximale;Le temps requis pour que le courant du circuit atteigne 36,8 % de sa valeur maximale;Le temps requis pour que la tension du circuit atteigne 63,2 % de sa valeur maximale;Le temps requis pour que la tension du circuit atteigne 36,8 % de sa valeur maximale
A-001-001-002;What is the term for the time required for the capacitor in an RC circuit to be charged to 63.2% of the supply voltage?;One time constant;An exponential rate of one;A time factor of one;One exponential period;Quel terme décrit le temps que prend un condensateur dans un circuit RC pour se charger à 63,2 % de la tension appliquée?;Une constante de temps;Un taux exponentiel de valeur 1;Un facteur de temps de valeur 1;Une période exponentielle
A-001-001-003;What is the term for the time required for the current in an RL circuit to build up to 63.2% of the maximum value?;One time constant;An exponential period of one;A time factor of one;One exponential rate;Quel terme décrit le temps que prend le courant, dans un circuit RL, pour atteindre 63,2% de sa valeur maximale?;Une constante de temps;Une période exponentielle de valeur 1;Un facteur de temps de valeur 1;Un taux exponentiel
A-001-001-004;What is the term for the time it takes for a charged capacitor in an RC circuit to discharge to 36.8% of its initial value of stored charge?;One time constant;A discharge factor of one;An exponential discharge of one;One discharge period;Quel terme est employé pour décrire le temps que prend un condensateur chargé, dans un circuit RC, à se décharger jusqu'à 36,8 % de sa charge initiale?;Une constante de temps;Un facteur de décharge de valeur 1;Une décharge exponentielle de valeur 1;Une période de décharge
A-001-001-005;What is meant by "back EMF"?;A voltage that opposes the applied EMF;A current that opposes the applied EMF;An opposing EMF equal to R times C percent of the applied EMF;A current equal to the applied EMF;Comment se définit la force contre-électromotrice (f.c.é.m.)?;Une tension qui s'oppose à la force électromotrice appliquée à un circuit;Un courant qui s'oppose à la force électromotrice appliquée à un circuit;Une force électromotrice opposée et égale à R multiplié par un pourcentage C de la force électromotrice appliquée;Un courant égal à la force électromotrice appliquée à un circuit
A-001-001-006;After two time constants, the capacitor in an RC circuit is charged to what percentage of the supply voltage?;86.5%;63.2%;95%;36.8%;Au moment de la charge, quel pourcentage de la tension appliquée le condensateur d'un circuit RC atteint-il après deux constantes de temps?;86,5 %;63,2 %;95 %;36,8 %
A-001-001-007;After two time constants, the capacitor in an RC circuit is discharged to what percentage of the starting voltage?;13.5%;36.8%;86.5%;63.2%;Au moment de la décharge, à quel pourcentage de la tension initiale le condensateur d'un circuit RC sera-t-il rendu après deux constantes de temps?;13,5 %;36,8 %;86,5 %;63,2 %
A-001-001-008;What is the time constant of a circuit having a 100 microfarad capacitor in series with a 470 kilohm resistor?;47 seconds;4700 seconds;470 seconds;0.47 seconds;Quelle est la constante de temps d'un circuit dont le condensateur, d'une valeur de 100 microfarads, est en série avec une résistance de 470 kilohms?;47 secondes;4700 secondes;470 secondes;0,47 seconde
A-001-001-009;What is the time constant of a circuit having a 470 microfarad capacitor in series with a 470 kilohm resistor?;221 seconds;221 000 seconds;47 000 seconds;470 seconds;Quelle est la constante de temps d'un circuit dont le condensateur, d'une valeur de 470 microfarads, est en série avec une résistance de 470 kilohms?;221 secondes;221 000 secondes;47 000 secondes;470 secondes
A-001-001-010;What is the time constant of a circuit having a 220 microfarad capacitor in series with a 470 kilohm resistor?;103 seconds;470 000 seconds;470 seconds;220 seconds;Quelle est la constante de temps d'un circuit dont le condensateur, d'une valeur de 220 microfarads, est en série avec une résistance de 470 kilohms?;103 secondes;470 000 secondes;470 secondes;220 secondes
A-001-002-001;What is the result of skin effect?;As frequency increases, RF current flows in a thinner layer of the conductor, closer to the surface;As frequency decreases, RF current flows in a thinner layer of the conductor, closer to the surface;Thermal effects on the surface of the conductor increase impedance;Thermal effects on the surface of the conductor decrease impedance;Quel est le résultat de l'effet pelliculaire ("skin effect")?;Plus la fréquence augmente, plus le courant RF circule dans une très mince couche, près de la surface du conducteur;Plus la fréquence diminue, plus le courant RF circule dans une très mince couche, près de la surface du conducteur;Les effets thermiques à la surface du conducteur augmentent l'impédance;Les effets thermiques à la surface du conducteur diminuent l'impédance
