A-007-001-001;For an antenna tuner of the "Transformer" type, which of the following statements is FALSE?;The circuit is known as a Pi-type antenna tuner;The input is suitable for 50 ohm impedance;The output is suitable for impedances from low to high;The circuit is known as a transformer-type antenna tuner;Pour un bloc d'accord d'antenne de type "transformateur", lequel des énoncés suivants est FAUX?;C'est un bloc d'accord d'antenne en pi;L'entrée convient à une impédance de 50 ohms;La sortie convient à des impédances allant de basses à hautes;C'est un bloc d'accord d'antenne de type transformateur
A-007-001-002;For an antenna tuner of the "Series" type, which of the following statements is false?;The circuit is known as a Pi-type antenna tuner;The circuit is known as a Series-type antenna tuner;The output is suitable for impedances from low to high;The input is suitable for impedance of 50 ohms;Pour un bloc d'accord d'antenne du type "en série", lequel des énoncés suivants est faux?;C'est un bloc d'accord d'antenne en pi;C'est un bloc d'accord d'antenne de type en série;La sortie convient à des impédances allant de basses à hautes;L'entrée convient à une impédance de 50 ohms
A-007-001-003;For an antenna tuner of the "L" type, which of the following statements is false?;The circuit is suitable for matching to a vertical ground plane antenna;The transmitter input is suitable for 50 ohms impedance;The antenna output is high impedance;The circuit is known as an L-type antenna tuner;Pour un bloc d'accord d'antenne du type "L", lequel des énoncés suivants est faux?;Le circuit convient pour accorder une antenne verticale à plan de sol;L'entrée de l'émetteur convient à une impédance de 50 ohms;La sortie de l'antenne est à haute impédance;C'est un bloc d'accord d'antenne en L
A-007-001-004;For an antenna tuner of the "Pi" type, which of the following statements is false?;The circuit is a series-type antenna tuner;The transmitter input is suitable for impedance of 50 ohms;The antenna output is suitable for impedances from low to high;The circuit is a Pi-type antenna tuner;Pour un bloc d'accord d'antenne du type "pi", lequel des énoncés suivants est faux?;C'est un bloc d'accord d'antenne de type en série;L'entrée de l'émetteur convient à une impédance de 50 ohms;La sortie de l'antenne convient à des impédances allant de basses à hautes;C'est un bloc d'accord d'antenne en pi
A-007-001-005;What is a pi-network?;A network consisting of one inductor and two capacitors or two inductors and one capacitor;An antenna matching network that is isolated from ground;A network consisting of four inductors or four capacitors;A power incidence network;Qu'est-ce qu'un adaptateur en pi?;Un circuit composé d'un condensateur et de deux bobines, ou d'une bobine et de deux condensateurs;Un adaptateur d'antenne non relié à une prise de terre;Un circuit composé de 4 bobines et de 4 condensateurs;Un circuit d'incidence de puissance
A-007-001-006;Which type of network offers the greatest transformation ratio?;Pi-network;Chebyshev;Butterworth;L-network;Quel genre d'adaptateur offre la gamme d'adaptation la plus étendue?;L'adaptateur en pi;Tchebychev;Butterworth;L'adaptateur en L
A-007-001-007;Why is an L-network of limited utility in impedance matching?;It matches only a small impedance range;It is thermally unstable;It is prone to self-resonance;It has limited power handling capability;Pourquoi l'adaptateur en "L" a-t-il une utilité très limitée, lorsqu'utilisé comme adaptateur d'impédance?;Il ne peut servir comme adaptateur que pour une gamme limitée d'impédance;Il est instable sur le plan thermique;Il est porté à résonner;Il a une capacité limitée pour supporter la puissance
A-007-001-008;How does a network transform one impedance to another?;It cancels the reactive part of an impedance and changes the resistive part;It produces transconductance to cancel the reactive part of an impedance;It introduces negative resistance to cancel the resistive part of an impedance;Network resistances substitute for load resistances;Comment un adaptateur peut-il modifier l'impédance?;Il annule la composante réactive de l'impédance, puis en transforme la partie résistive;Il fournit la transconductance pour annuler la réactance de l'impédance;Il introduit une résistance négative pour annuler la partie résistive de l'impédance;En remplaçant les résistances du circuit par des résistances de charge
A-007-001-009;What advantage does a pi-L network have over a pi-network for impedance matching between a vacuum tube linear amplifier and a multiband antenna?;Greater harmonic suppression;Higher efficiency;Lower losses;Greater transformation range;Quel avantage a l'adaptateur "pi-L" sur l'adaptateur "pi" pour accorder l'impédance entre un amplificateur linéaire à tube à vide et une antenne multibande?;Une plus grande suppression d'harmoniques;Un rendement plus élevé;Moins de pertes;Une plus grande gamme de transformation
A-007-001-010;Which type of network provides the greatest harmonic suppression?;Pi-L network;Inverse pi-network;Pi-network;L-network;Quel genre d'adaptateur favorise le plus la suppression d'harmoniques?;L'adaptateur pi-L;L'adaptateur en pi inversé;L'adaptateur en pi;L'adaptateur L
A-007-001-011;A Smith Chart is useful:;because it simplifies mathematical operations;only to solve matching and transmission line problems;to solve problems in direct current circuits;because it only works with complex numbers;Un abaque de Smith ("Smith Chart") est utile :;Car elle simplifie les opérations mathématiques;Seulement pour résoudre des problèmes d'adaptation et de ligne de transmission;Pour résoudre des calculs relatifs aux circuits à courant continu;Car elle ne fonctionne qu'avec des nombres complexes
