A-007-005-007;A parabolic antenna is very efficient because:;all the received energy is focused to a point where the pick-up antenna is located;a dipole antenna can be used to pick up the received energy;no impedance matching is required;a horn-type radiator can be used to trap the received energy;Une antenne parabolique est très efficace parce que :;toute l'énergie reçue converge vers un point où est située l'antenne de réception;un dipôle peut être utilisé pour capter l'énergie;aucune adaptation d'impédance n'est requise;un radiateur en forme de cornet peut être utilisé pour capter l'énergie reçue
A-007-005-008;A helical-beam antenna with right-hand polarization will best receive signals with:;right-hand polarization;left-hand polarization;vertical polarization only;horizontal polarization;Une antenne hélicoïdale possédant une polarisation horaire (sens des aiguilles d'une montre) recevra mieux les signaux avec :;une polarisation horaire;une polarisation en sens contraire des aiguilles d'une montre;une polarisation verticale seulement;une polarisation horizontale seulement
A-007-005-009;One antenna which will respond simultaneously to vertically- and horizontally-polarized signals is the:;helical-beam antenna;folded dipole antenna;ground-plane antenna;quad antenna;Une antenne qui répond simultanément à des signaux polarisés horizontalement et verticalement se nomme :;une antenne directionnelle hélicoïdale;un dipôle replié;une antenne à plan de sol ("ground plane");une antenne "quad"
A-007-005-010;In amateur work, what is the surface error upper limit you should try not to exceed on a parabolic reflector?;0.1 lambda;0.25 lambda;5 mm (0.2 in) regardless of frequency;1% of the diameter;En service radioamateur, quelle erreur d'uniformité de surface devriez-vous tenter de ne pas excéder pour un réflecteur parabolique?;0,1 lambda;0,25 lambda;5 mm (0.2 po), peu importe la fréquence;1% du diamètre
A-007-005-011;You want to convert a surplus parabolic dish for amateur radio use, the gain of this antenna depends on:;the diameter of the antenna in wavelengths;the polarization of the feed device illuminating it;the focal length of the antenna;the material composition of the dish;Vous entendez recycler une antenne parabolique commerciale pour le service radioamateur, le gain de cette antenne dépend :;du diamètre du réflecteur exprimé en longueurs d'onde;de la polarisation de la source primaire illuminant le réflecteur;de la distance focale de l'antenne;de la composition (matériau) du réflecteur
A-007-006-001;A transmitter has an output of 100 watts. The cable and connectors have a composite loss of 3 dB, and the antenna has a gain of 6 dBd. What is the Effective Radiated Power?;200 watts;350 watts;400 watts;300 watts;Un émetteur a une puissance de sortie de 100 watts. Le câble et les connecteurs ont une perte totale de 3 dB, et l'antenne a un gain de 6 dBd. Quelle est la puissance apparente rayonnée?;200 watts;350 watts;400 watts;300 watts
A-007-006-002;As standing wave ratio rises, so does the loss in the transmission line. This is caused by:;dielectric and conductor heat losses;high antenna currents;high antenna voltage;leakage to ground through the dielectric;Plus le rapport d'onde stationnaire augmente, plus il y a de pertes dans la ligne de transmission. Ceci est dû à :;des pertes thermiques dans le diélectrique et les conducteurs;de forts courants dans l'antenne;de fortes tensions dans l'antenne;des fuites à la terre à travers le diélectrique
A-007-006-003;What is the Effective Radiated Power of an amateur transmitter, if the transmitter output power is 200 watts, the transmission line loss is 5 watts, and the antenna power gain is 3 dBd?;390 watts;197 watts;228 watts;178 watts;Quelle est la puissance apparente rayonnée d'un émetteur si la puissance de sortie de l'émetteur est de 200 watts, les pertes dans la ligne de transmission de 5 watts et le gain de l'antenne de 3 dBd?;390 watts;197 watts;228 watts;178 watts
A-007-006-004;Effective Radiated Power means the:;transmitter output power, minus line losses, plus antenna gain relative to a dipole;power supplied to the antenna before the modulation of the carrier;power supplied to the transmission line plus antenna gain;ratio of signal output power to signal input power;La puissance apparente rayonnée signifie :;la puissance de sortie de l'émetteur, moins les pertes de la ligne, plus le gain de l'antenne par rapport à un dipôle;la puissance fournie à l'antenne avant la modulation de la porteuse;la puissance fournie à la ligne, plus le gain de l'antenne;le rapport entre la puissance de sortie du signal et la puissance d'entrée du signal
A-007-006-005;A transmitter has an output power of 200 watts. The coaxial and connector losses are 3 dB in total, and the antenna gain is 9 dBd. What is the approximate Effective Radiated Power of this system?;800 watts;3200 watts;1600 watts;400 watts;Un émetteur a une puissance de sortie de 200 watts. Les pertes dans le câble coaxial et les connecteurs sont de 3 dB au total et le gain de l'antenne est de 9 dBd. Quelle est la valeur approximative de la puissance apparente rayonnée de ce système?;800 watts;3 200 watts;1 600 watts;400 watts
A-007-006-006;A transmitter has a power output of 100 watts. There is a loss of 1.30 dB in the transmission line, a loss of 0.2 dB through the antenna tuner, and a gain of 4.50 dBd in the antenna. The Effective Radiated Power (ERP) is:;200 watts;800 watts;400 watts;100 watts;Un émetteur possède une puissance de sortie de 100 watts. On retrouve une perte de 1,3 dB dans la ligne de transmission, une perte de 0,2 dB à travers le bloc d'accord et un gain de 4,5 dBd dans l'antenne. La puissance apparente rayonnée sera donc de :;200 watts;800 watts;400 watts;100 watts
A-007-006-007;If the overall gain of an amateur station is increased by 3 dB the ERP (Effective Radiated Power) will:;double;decrease by 3 watts;remain the same;be cut in half;Si le gain total de l'installation d'un radioamateur augmente de 3 dB, la puissance apparente rayonnée :;est doublée;diminue de 3 watts;demeure la même;diminue de moitié
A-007-006-008;A transmitter has a power output of 125 watts. There is a loss of 0.8 dB in the transmission line, 0.2 dB in the antenna tuner, and a gain of 10 dBd in the antenna. The Effective Radiated Power (ERP) is:;1000;1250;1125;134;Un émetteur a une puissance de sortie de 125 watts. Il y a une perte de 0,8 dB dans la ligne de transmission, de 0,2 dB dans le circuit d'accord et un gain de 10 dBd dans l'antenne. La puissance apparente rayonnée est :;1 000;1 250;1 125;134
A-007-006-009;If a 3 dBd gain antenna is replaced with a 9 dBd gain antenna, with no other changes, the Effective Radiated Power (ERP) will increase by:;4;6;1.5;2;Si une antenne de 3 dBd de gain est remplacée, sans aucun autre changement, par une antenne de 9 dBd de gain, la puissance apparente rayonnée augmentera combien de fois?;4;6;1,5;2
A-007-006-010;A transmitter has an output of 2000 watts PEP. The transmission line, connectors and antenna tuner have a composite loss of 1 dB, and the gain from the stacked Yagi antenna is 10 dBd. What is the Effective Radiated Power (ERP) in watts PEP?;16 000;18 000;20 000;2009;Un émetteur a une sortie de 2 000 watts (valeur crête). La ligne de transmission, les connecteurs et le circuit d'accord ont une perte totale de 1 dB, et le gain de l'antenne Yagi jumelée ("stacked") est de 10 dBd. Quelle est la puissance apparente rayonnée en watts (valeur crête)?;16 000;18 000;20 000;2 009
A-007-006-011;A transmitter has an output of 1000 watts PEP. The coaxial cable, connectors and antenna tuner have a composite loss of 1 dB, and the antenna gain is 10 dBd. What is the Effective Radiated Power (ERP) in watts PEP?;8000;1009;10 000;9000;Un émetteur a une sortie de 1 000 watts (valeur crête). Le câble coaxial, les connecteurs et le circuit d'accord ont une perte totale de 1 dB, et le gain de l'antenne est de 10 dBd. Quelle est la puissance apparente rayonnée en watts (valeur crête)?;8 000;1 009;10 000;9 000
A-007-007-001;For a 3-element Yagi antenna with horizontally mounted elements, how does the main lobe takeoff angle vary with height above flat ground?;It decreases with increasing height;It increases with increasing height;It does not vary with height;It depends on E-region height, not antenna height;Avec une antenne Yagi à trois éléments horizontaux, quel est l'effet sur l'angle de rayonnement du lobe principal lorsqu'on fait varier la hauteur de l'antenne par rapport au sol?;Il décroît à mesure qu'on élève l'antenne;Il augmente à mesure qu'on élève l'antenne;Il n'y a pas de variation avec les changements de hauteur;La variation est en rapport avec la hauteur de la couche E, et non avec la hauteur de l'antenne
A-007-007-002;Most simple horizontally polarized antennas do not exhibit significant directivity unless they are:;a half wavelength or more above the ground;an eighth of a wavelength above the ground;a quarter wavelength above the ground;three-eighths of a wavelength above the ground;La plupart des antennes simples à polarisation horizontale n'ont pas de directivité marquée à moins qu'elles ne soient à :;une demi-longueur d'onde au-dessus du sol;un huitième de longueur d'onde au-dessus du sol;un quart de longueur d'onde au-dessus du sol;trois huitièmes de longueur d'onde au-dessus du sol
