B-005-005-009;The total resistance of four 68 ohm resistors wired in parallel is:;17 ohms;12 ohms;34 ohms;272 ohms;La résistance totale de quatre résistances de 68 ohms raccordées en parallèle est égale à :;17 ohms;12 ohms;34 ohms;272 ohms
B-005-005-010;Two resistors are in parallel. Resistor A carries twice the current of resistor B, which means that:;A has half the resistance of B;the voltage across B is twice that across A;the voltage across A is twice that across B;B has half the resistance of A;Deux résistances sont placées en parallèle. La résistance "A" est traversée par un courant deux fois plus élevé que la résistance "B" :;la résistance "A" a une valeur deux fois moins élevée que celle de "B";la tension aux bornes de "B" est deux fois plus élevée que celle aux bornes de "A";la tension aux bornes de "A" est deux fois plus élevée que celle aux bornes de "B";la résistance "B" a une valeur deux fois moins élevée que celle de "A"
B-005-005-011;The total current in a parallel circuit is equal to the:;sum of the currents through all the parallel branches;source voltage divided by the value of one of the resistive elements;source voltage divided by the sum of the resistive elements;current in any one of the parallel branches;Le courant total dans un circuit parallèle est égal :;à la somme des courants circulant dans toutes les branches en parallèle;à la tension de la source divisée par la valeur de l'une des résistances;à la tension de la source divisée par la somme des résistances;au courant d'une branche quelconque
B-005-006-001;Why would a large size resistor be used instead of a smaller one of the same resistance?;For greater power dissipation;For better response time;For a higher current gain;For less impedance in the circuit;Pourquoi utiliser une grosse résistance au lieu d'une petite alors qu'elles ont toutes les deux la même valeur ohmique?;Pour une dissipation de chaleur accrue;Pour un meilleur temps de réponse;Pour un gain de courant plus élevé;Pour une impédance réduite dans le circuit
B-005-006-002;How many watts of electrical power are used by a 12 volt DC light bulb that draws 0.2 ampere?;2.4 watts;60 watts;24 watts;6 watts;Combien de watts utilise une lampe de 12 volts CC qui tire un courant de 0,2 ampère?;2,4 watts;60 watts;24 watts;6 watts
B-005-006-003;The DC input power of a transmitter operating at 12 volts and drawing 500 milliamperes would be:;6 watts;20 watts;500 watts;12 watts;Quelle est la puissance d'entrée d'un émetteur qui consomme un courant de 500 milliampères sous 12 volts CC?;6 watts;20 watts;500 watts;12 watts
B-005-006-004;When two 500 ohm 1 watt resistors are connected in series, the maximum total power that can be dissipated by the resistors is:;2 watts;1 watt;1/2 watt;4 watts;Quand deux résistances de 500 ohms, 1 watt, sont raccordées en série, la puissance maximale totale qu'elles peuvent dissiper est de :;2 watts;1 watt;1/2 watt;4 watts
B-005-006-005;When two 500 ohm 1 watt resistors are connected in parallel, they can dissipate a maximum total power of:;2 watts;1/2 watt;1 watt;4 watts;Quand deux résistances de 500 ohms, 1 watt, sont raccordées en parallèle, elles peuvent dissiper une puissance maximale totale de :;2 watts;1/2 watt;1 watt;4 watts
B-005-006-006;If the voltage applied to two resistors in series is doubled, how much will the total power change?;Increase four times;Decrease to half;Double;No change;Si l'on double la tension appliquée à deux résistances en série, de combien change la puissance totale?;Elle quadruple;Elle diminue de moitié;Elle double;Elle ne change pas
B-005-006-007;Which combination of resistors could make up a 50 ohms dummy load capable of safely dissipating 5 watts?;Four 2-watt 200 ohms resistors in parallel;Two 5-watt 100 ohms resistors in series;Two 2-watt 25 ohms resistors in series;Ten quarter-watt 500 ohms resistors in parallel;Quelle combinaison de résistances pourrait servir de charge fictive de 50 ohms et tolérer 5 watts?;Quatre résistances 200 ohms 2 watts en parallèle;Deux résistances 100 ohms 5 watts en série;Deux résistances 25 ohms 2 watts en série;Dix résistances 500 ohms 0,25 watt en parallèle
B-005-006-008;A 12 volt light bulb is rated at a power of 30 watts. The current drawn would be:;30/12 amperes;18 amperes;360 amperes;12/30 amperes;Une lampe de 12 volts a une puissance nominale de 30 watts. Le courant consommé est de :;30/12 d'ampère;18 ampères;360 ampères;12/30 d'ampère
