B-005-010-005;Capacitive reactance:;decreases as frequency increases;applies only to series RLC circuits;increases as frequency increases;increases with the time constant;La réactance capacitive :;diminue quand la fréquence augmente;ne s'applique qu'aux circuits RLC en série;augmente quand la fréquence augmente;augmente avec la constante de temps
B-005-010-006;Inductive reactance may be increased by:;an increase in the applied frequency;a decrease in the applied frequency;a decrease in the supplied current;an increase in the applied voltage;On peut augmenter la réactance inductive en :;augmentant la fréquence appliquée;diminuant la fréquence appliquée;diminuant le courant fourni;augmentant la tension appliquée
B-005-010-007;What property allows a coil wound on a ferrite core to mitigate the effects of an offending radio signal?;High reactance at radio frequencies;Low reactance at radio frequencies;Low reactance at audio frequencies;High reactance at audio frequencies;Qu'est-ce qui permet à une bobine sur noyau de ferrite de réduire les effets d'un signal radio brouilleur?;Une haute réactance aux fréquences radio;Une basse réactance aux fréquences radio;Une basse réactance aux fréquences audio;Une haute réactance aux fréquences audio
B-005-010-008;What property allows an RF bypass capacitor on an audio circuit to divert an offending radio signal?;Low reactance at radio frequencies;High reactance at radio frequencies;Low reactance at audio frequencies;High reactance at audio frequencies;Qu'est-ce qui permet à un condensateur de dérivation ("bypass") RF sur un circuit audio de détourner un signal radio brouilleur?;Une basse réactance aux fréquences radio;Une haute réactance aux fréquences radio;Une basse réactance aux fréquences audio;Une haute réactance aux fréquences audio
B-005-010-009;What property allows an RF bypass capacitor to have little effect on an audio circuit?;High reactance at low frequencies;Low reactance at high frequencies;High reactance at high frequencies;Low reactance at low frequencies;Qu'est-ce qui permet à un condensateur de dérivation ("bypass") RF d'avoir un effet négligeable sur un circuit audio?;Une haute réactance aux fréquences basses;Une basse réactance aux fréquences élevées;Une haute réactance aux fréquences élevées;Une basse réactance aux fréquences basses
B-005-010-010;What property allows an RF choke coil to have little effect on signals meant to flow through the coil?;Low reactance at low frequencies;High reactance at low frequencies;Low reactance at high frequencies;High reactance at high frequencies;Qu'est-ce qui permet à une bobine d'arrêt RF d'avoir un effet négligeable sur les signaux qui doivent la traverser?;Une basse réactance aux fréquences basses;Une haute réactance aux fréquences basses;Une basse réactance aux fréquences élevées;Une haute réactance aux fréquences élevées
B-005-010-011;In general, the reactance of inductors increases with:;increasing AC frequency;decreasing AC frequency;decreasing applied voltage;increasing applied voltage;En général, la réactance d'une inductance augmente lorsque :;la fréquence augmente;la fréquence diminue;la tension appliquée diminue;la tension appliquée augmente
B-005-011-001;If no load is attached to the secondary winding of a transformer, what is current in the primary winding called?;Magnetizing current;Direct current;Latent current;Stabilizing current;Comment se nomme le courant qui circule dans l'enroulement primaire d'un transformateur lorsqu'aucune charge n'est raccordée au secondaire?;Le courant magnétisant;Le courant continu;Le courant latent;Le courant stabilisant
B-005-011-002;A transformer operates a 6.3 volt 2 ampere light bulb from its secondary winding. The input power to the primary winding is approximately:;13 watts;6 watts;8 watts;3 watts;Le secondaire d'un transformateur débite un courant de 2 ampères dans une lampe de 6,3 volts. Quelle est la valeur approximative de la puissance d'entrée à l'enroulement primaire?;13 watts;6 watts;8 watts;3 watts
B-005-011-003;A transformer has a 240 volt primary that draws a current of 250 milliamperes from the mains supply. Assuming no losses and only one secondary, what current would be available from the 12 volt secondary?;5 amperes;215 amperes;25 amperes;50 amperes;Le primaire d'un transformateur consomme 250 mA sous 240 volts. En supposant le transformateur sans pertes et un seul enroulement secondaire, quel est le courant fourni au secondaire sous 12 volts?;5 ampères;215 ampères;25 ampères;50 ampères
B-005-011-004;In a mains power transformer, the primary winding has 250 turns, and the secondary has 500. If the input voltage is 120 volts, the likely secondary voltage is:;240 V;480 V;610 V;26 V;Un transformateur comporte un primaire de 250 tours et un secondaire de 500 tours. Si la tension appliquée au primaire est de 120 volts, quelle tension devrait apparaître aux bornes de son secondaire?;240 V;480 V;610 V;26 V
