B-007-003-001;What is a skip zone?;An area which is too far away for ground-wave propagation, but too close for sky-wave propagation;An area which is too far away for ground-wave or sky-wave propagation;An area covered by sky-wave propagation;An area covered by ground-wave propagation;Qu'est-ce qu'une zone de silence?;Une zone située au-delà de la portée de l'onde de sol, mais trop rapprochée pour l'onde de ciel;Une zone trop éloignée pour l'onde de sol ou l'onde de ciel;Une zone couverte par l'onde de ciel;Une zone couverte par l'onde de sol
B-007-003-002;What is the maximum distance along the Earth's surface that is normally covered in one hop using the F2 region?;4000 km (2500 miles);None, the F2 region does not support radio-wave propagation;2000 km (1250 miles);300 km (190 miles);Quelle est la distance maximale que peut parcourir sur la surface de la Terre un signal radio réfléchi une seule fois par la couche ionosphérique F2?;4000 km (2500 milles);Aucune, la région F2 ne permet pas la réflexion d'un signal radio;2000 km (1250 milles);300 km (190 milles)
B-007-003-003;What is the maximum distance along the Earth's surface that is normally covered in one hop using the E region?;2000 km (1250 miles);300 km (190 miles);4000 km (2500 miles);None, the E region does not support radio-wave propagation;Quelle est la distance maximale, sur la surface de la Terre, que peut parcourir une onde radio réfléchie une seule fois par la couche E?;2000 km (1250 milles);300 km (190 milles);4000 km (2500 milles);Aucune, les ondes radio ne sont pas réfléchies par la couche E
B-007-003-004;Skip zone is:;a zone between the end of the ground wave and the point where the first refracted wave returns to Earth;a zone of silence caused by lost sky waves;a zone between any two refracted waves;a zone between the antenna and the return of the first refracted wave;La zone de silence est :;une zone entre l'extrémité de l'onde de sol et le point où la première onde réfractée retourne sur la terre;une zone de silence causée par les ondes ionosphériques perdues;une zone entre deux ondes réfractées quelconques;une zone entre l'antenne et le retour de la première onde réfractée
B-007-003-005;The distance to Europe from your location is approximately 5000 km. What sort of propagation is the most likely to be involved?;Multihop;Sporadic "E";Back scatter;Tropospheric scatter;La distance entre votre station et l'Europe est d'environ 5000 km. Quel genre de propagation est le plus probable entre ces deux endroits :;la propagation par sauts multiples;la propagation par ionisation sporadique de la couche E;la propagation par dispersion arrière;la propagation par dispersion troposphérique
B-007-003-006;For radio signals, the skip distance is determined by the:;height of the ionosphere and the angle of radiation;power fed to the power amplifier;angle of radiation;type of transmitting antenna used;Pour les signaux radio, la distance d'un saut est déterminée par :;la hauteur de l'ionosphère et l'angle de rayonnement;la puissance d'entrée de l'amplificateur de puissance de l'émetteur;l'angle de rayonnement;le genre d'antenne d'émission utilisée
B-007-003-007;The distance from the transmitter to the nearest point where the sky wave returns to the Earth is called the:;skip distance;skip zone;angle of radiation;maximum usable frequency;La distance entre l'émetteur et le point le plus rapproché où l'onde ionosphérique retourne sur la terre s'appelle :;la distance d'un saut;la zone de silence;l'angle de rayonnement;la fréquence maximale utilisable
B-007-003-008;Skip distance is the:;the minimum distance reached by a signal after one reflection by the ionosphere;the maximum distance reached by a signal after one reflection by the ionosphere;the minimum distance reached by a ground-wave signal;the maximum distance a signal will travel by both a ground wave and reflected wave;La distance d'un saut est :;la distance minimale qu'un signal atteint après une réflexion sur l'ionosphère;la distance maximale qu'un signal atteint après une réflexion sur l'ionosphère;la distance minimale atteinte par une onde de sol;la distance maximale qu'un signal parcourt à la fois par l'onde de sol et par l'onde réfléchie
B-007-003-009;Skip distance is a term associated with signals from the ionosphere. Skip effects are due to:;reflection and refraction from the ionosphere;selective fading of local signals;high gain antennas being used;local cloud cover;La distance d'un saut est un terme associé aux signaux provenant de l'ionosphère. Le phénomène de saut est dû à :;la réflexion et la réfraction des ondes dans l'ionosphère;un évanouissement sélectif des signaux locaux;l'utilisation d'antennes à gain élevé;une couverture nuageuse locale
B-007-003-010;The skip distance of a sky wave will be greatest when the:;angle between the ground and the radiation is smallest;polarization is vertical;ionosphere is most densely ionized;signal given out is strongest;La distance d'un saut d'une onde ionosphérique est d'autant plus longue que :;l'angle entre la direction du rayonnement et le sol est plus petit;la polarisation est verticale;l'ionosphère est plus fortement ionisée;le signal émis est plus fort
B-007-003-011;If the height of the reflecting layer of the ionosphere increases, the skip distance of a high frequency (HF) transmission:;becomes greater;stays the same;varies regularly;decreases;Si la hauteur de la couche réfléchissante de l'ionosphère augmente, la distance d'un saut d'une émission haute fréquence (HF) :;augmente;reste la même;varie de manière régulière;diminue
B-007-004-001;What effect does the D region of the ionosphere have on lower frequency HF signals in the daytime?;It absorbs the signals;It bends the radio waves out into space;It refracts the radio waves back to Earth;It has little or no effect on 80-metre radio waves;Qu'arrive-t-il aux basses fréquences HF qui traversent la couche D durant le jour?;Les signaux sont absorbés;Les signaux sont détournés vers l'espace;Les signaux sont réfractés vers la terre;Il n'y a presque pas d'effet sur la bande de 80 mètres
B-007-004-002;What causes distant AM broadcast and 160 metre ham band stations not to be heard during daytime hours?;The ionization of the D region;The presence of ionized clouds in the E region;The splitting of the F region;The weather below the ionosphere;Pourquoi des stations distantes de la bande de radiodiffusion AM ou de la bande de 160 m ne peuvent-elles être entendues le jour?;En raison de l'ionisation de la couche D;En raison de la présence de nuages ionisés dans la couche E;En raison de la séparation en deux de la couche F;Les conditions météo juste en deçà de l'ionosphère
B-007-004-003;Two or more parts of the radio wave follow different paths during propagation and this may result in phase differences at the receiver. This "change" at the receiver is called:;fading;baffling;absorption;skip;Deux ou plusieurs parties d'une onde radio peuvent suivre des trajets différents pendant la propagation et cela peut produire des différences de phase au récepteur. Ce changement dans la réception s'appelle :;l'évanouissement;la réverbération;l'absorption;le saut
B-007-004-004;A change or variation in signal strength at the antenna, caused by differences in path lengths, is called:;fading;absorption;fluctuation;path loss;Un changement ou une variation de l'intensité du signal capté par l'antenne, causé par différentes longueurs de parcours de l'onde s'appelle :;l'évanouissement;l'absorption;la fluctuation;l'affaiblissement de propagation ("path loss")
B-007-004-005;When a transmitted radio signal reaches a station by a one-hop and two-hop skip path, small changes in the ionosphere can cause:;variations in signal strength;consistent fading of received signal;consistently stronger signals;a change in the ground-wave signal;Lorsqu'une onde radio arrive à une station suivant un trajet à un saut et un trajet à deux sauts entre l'émetteur et le récepteur, de légères modifications de l'ionosphère peuvent provoquer :;des variations de l'intensité du signal;un évanouissement permanent du signal;des signaux d'une intensité supérieure continue;une modification de l'onde de sol
B-007-004-006;The usual effect of ionospheric storms is to:;cause a fade-out of sky-wave signals;produce extreme weather changes;prevent communications by ground wave;increase the maximum usable frequency;Les orages ionosphériques ont habituellement pour effet :;de provoquer un évanouissement de l'onde ionosphérique;de produire des changements importants aux conditions météorologiques;d'empêcher les communications par onde de sol;d'augmenter la fréquence maximale utilisable
B-007-004-007;On the VHF and UHF bands, polarization of the receiving antenna is very important in relation to the transmitting antenna, yet on HF bands it is relatively unimportant. Why is that so?;The ionosphere can change the polarization of the signal from moment to moment;The ground wave and the sky wave continually shift the polarization;Anomalies in the Earth's magnetic field produce a profound effect on HF polarization but not on VHF & UHF frequencies;Greater selectivity is possible with HF receivers making changes in polarization redundant;Sur les bandes VHF et UHF, la polarisation de l'antenne réceptrice est très importante par rapport à celle de l'antenne émettrice. Pourtant, sur les bandes HF, elle devient relativement peu importante. Pourquoi en est-il ainsi?;L'ionosphère peut changer la polarisation du signal d'un instant à l'autre;L'onde de sol et l'onde réfléchie changent continuellement de plan de polarisation;Les anomalies du champ magnétique terrestre ont un effet certain sur la polarisation en HF, mais non pas en fréquences VHF et UHF;Les récepteurs HF peuvent avoir une plus grande sélectivité, ce qui annule les changements de polarisation
B-007-004-008;What causes selective fading?;Phase differences between radio wave components of the same transmission, as experienced at the receiving station;Small changes in beam heading at the receiving station;Time differences between the receiving and transmitting stations;Large changes in the height of the ionosphere at the receiving station ordinarily occurring shortly before sunrise and sunset;Quelle est la raison de l'évanouissement sélectif?;Les différences de phase entre les composantes d'une même émission, détectées par la station réceptrice;Les légers changements d'orientation de l'antenne directionnelle de la station réceptrice;La différence d'heures entre la station émettrice et la station réceptrice;Des changements importants de la hauteur de la couche ionosphérique juste avant les heures du lever et du coucher du soleil
B-007-004-009;How does the bandwidth of a transmitted signal affect selective fading?;It is more pronounced at wide bandwidths;It is the same for both wide and narrow bandwidths;Only the receiver bandwidth determines the selective fading effect;It is more pronounced at narrow bandwidths;Quelle influence a la largeur de bande d'un signal transmis lorsqu'il y a évanouissement sélectif?;L'évanouissement sélectif est plus prononcé pour les grandes largeurs de bande;L'évanouissement sélectif est le même pour les grandes ou petites largeurs de bande;Seule la largeur de bande du récepteur détermine l'effet d'évanouissement sélectif;L'évanouissement sélectif est plus prononcé pour les petites largeurs de bande
