B-004-002-005;The electrodes of a semiconductor diode are known as:;anode and cathode;gate and source;collector and base;cathode and drain;Les électrodes d'une diode à semi-conducteur s'appellent :;anode et cathode;porte et source;collecteur et base;cathode et drain
B-004-002-006;If alternating current is applied to the anode of a diode, what would you expect to see at the cathode?;Pulsating direct current;No signal;Steady direct current;Pulsating alternating current;Si on applique un courant alternatif à l'anode d'une diode, que retrouve-t-on à la cathode?;Du courant continu pulsatif;Aucun signal;Du courant continu constant;Du courant alternatif pulsatif
B-004-002-007;In a semiconductor diode, electrons flow from:;cathode to anode;anode to cathode;cathode to grid;grid to anode;Dans une diode à semi-conducteur, les électrons circulent :;de la cathode à l'anode;de l'anode à la cathode;de la cathode à la grille;de la grille à l'anode
B-004-002-008;What semiconductor device glows different colours, depending upon its chemical composition?;A light-emitting diode;A fluorescent bulb;A neon bulb;A vacuum diode;Quel semi-conducteur s'illumine de diverses couleurs selon sa composition chimique?;Une diode électroluminescente;Une lampe fluorescente;Une lampe au néon;Une diode à vide
B-004-002-009;Voltage regulation is the principal application of the:;Zener diode;junction diode;light-emitting diode;vacuum diode;La régulation de la tension est la principale application de :;la diode Zener;la diode à jonction;la diode électroluminescente;la diode à vide
B-004-002-010;In order for a diode to conduct, it must be:;forward-biased;close coupled;enhanced;reverse-biased;Pour qu'une diode conduise, elle doit être :;en polarisation directe;couplée d'une façon rapprochée;enrichie;en polarisation inverse
B-004-003-001;Which component can amplify a small signal using low voltages?;A PNP transistor;A variable resistor;An electrolytic capacitor;A multiple-cell battery;Quel composant peut amplifier un faible signal en utilisant un bas voltage?;Un transistor PNP;Une résistance variable;Un condensateur électrolytique;Une batterie à plusieurs cellules
B-004-003-002;The basic semiconductor amplifying device is the:;transistor;tube;P-N junction;diode;Le semi-conducteur qui sert à amplifier porte le nom de :;transistor;tube électronique;jonction P/N;diode
B-004-003-003;The three leads from a PNP transistor are named:;collector, emitter and base;drain, base and source;collector, source and drain;gate, source and drain;Les trois bornes d'un transistor PNP correspondent aux électrodes suivantes :;le collecteur, l'émetteur et la base;le drain, la base et la source;le collecteur, la source et le drain;la porte, la source et le drain
B-004-003-004;If a low level signal is placed at the input to a transistor, a higher level of signal is produced at the output lead. This effect is known as:;amplification;detection;modulation;rectification;Si l'on applique un signal faible à l'entrée d'un transistor, il y a un signal de niveau plus élevé qui apparaît à la sortie. On appelle cet effet :;amplification;détection;modulation;redressement
B-004-003-005;Bipolar transistors usually have:;3 leads;1 lead;2 leads;4 leads;Les transistors bipolaires ont généralement :;3 bornes;1 borne;2 bornes;4 bornes
