B-006-002-001;What is a coaxial cable?;A center wire inside an insulating material which is covered by a metal sleeve or shield;Two wires side-by-side in a plastic ribbon;Two wires side-by-side held apart by insulating rods;Two wires twisted around each other in a spiral;Qu'est-ce qu'un câble coaxial?;Un fil central, entouré d'un matériau isolant, lequel est entouré d'une gaine conductrice ou d'une tresse métallique;Deux fils parallèles dans un ruban de plastique;Deux fils parallèles tenus à distance par des tiges isolantes;Deux fils enroulés l'un autour de l'autre, en spirale
B-006-002-002;What is parallel-conductor transmission line?;Two wires side-by-side held apart by insulating material;Two wires twisted around each other in a spiral;A center wire inside an insulating material which is covered by a metal sleeve or shield;A metal pipe which is as wide or slightly wider than a wavelength of the signal it carries;Comment est fabriquée une ligne de transmission dont les conducteurs sont en parallèle?;Deux fils conducteurs, placés côte à côte et séparés par un matériau isolant;Deux fils enroulés en spirale l'un sur l'autre;Un fil central, entouré d'un matériau isolant, lequel est entouré d'une gaine métallique;Un tuyau en métal aussi large ou légèrement plus large que la longueur d'onde du signal qu'il véhicule
B-006-002-003;What kind of antenna transmission line is made of two conductors held apart by insulated rods?;Open wire line;Coaxial cable;Twin lead in a plastic ribbon;Twisted pair;Quelle sorte de ligne de transmission est faite de deux conducteurs, tenus séparés par des tiges isolantes?;Une ligne ouverte, dite "en échelle";Un câble coaxial;Une ligne bifilaire dans un ruban de plastique;Une paire torsadée (deux fils enroulés l'un sur l'autre)
B-006-002-004;What does the term "balun" mean?;Balanced to unbalanced;Balanced unloader;Balanced unmodulator;Balanced antenna network;Qu'est-ce qu'un symétriseur ("balun")?;Un adaptateur placé entre des systèmes (ligne ou antenne) de modes de transmission différents (symétrique et asymétrique);Un déchargeur balancé;Un démodulateur balancé;Un réseau d'antennes symétriques
B-006-002-005;Where would you install a balun to feed a dipole antenna with 50-ohm coaxial cable?;Between the coaxial cable and the antenna;Between the transmitter and the coaxial cable;Between the antenna and the ground;Between the coaxial cable and the ground;Où doit-on placer le symétriseur pour alimenter une antenne dipôle avec une ligne de transmission coaxiale d'une impédance caractéristique de 50 ohms?;Entre le câble coaxial et l'antenne;Entre l'émetteur et le câble coaxial;Entre l'antenne et la prise de terre;Entre le câble coaxial et la prise de terre
B-006-002-006;What is an unbalanced line?;Transmission line with one conductor connected to ground;Transmission line with neither conductor connected to ground;Transmission line with both conductors connected to ground;Transmission line with both conductors connected to each other;Qu'est-ce qu'une ligne asymétrique?;Une ligne de transmission dont un des conducteurs est relié à une prise de terre;Une ligne de transmission dont aucun conducteur n'est relié à une prise de terre;Une ligne de transmission dont les deux conducteurs sont reliés à une prise de terre;Une ligne de transmission dont les conducteurs sont reliés l'un à l'autre
B-006-002-007;What device can be installed to feed a balanced antenna with an unbalanced transmission line?;A balun;A triaxial transformer;A wave trap;A loading coil;Quel dispositif est utilisé pour relier une ligne de transmission asymétrique à une antenne symétrique?;Un symétriseur ("balun");Un transformateur triaxial;Un piège à onde;Une bobine de charge
B-006-002-008;A flexible coaxial line contains:;braided shield conductor and insulation around a central conductor;four or more conductors running parallel;only one conductor;two parallel conductors separated by spacers;Un câble coaxial flexible comprend :;une gaine tressée entourant un conducteur central dont elle est séparée par un isolant;quatre conducteurs ou plus, disposés parallèlement entre eux;un seul conducteur;deux conducteurs parallèles séparés par des tiges isolantes
B-006-002-009;A balanced transmission line:;is made of two parallel wires;has one conductor inside the other;carries RF current on one wire only;is made of one conductor only;Une ligne de transmission symétrique :;est constituée par deux fils parallèles;comporte un conducteur entouré par un autre;transmet le courant RF seulement dans un conducteur;est une ligne à un seul conducteur
B-006-002-010;A 75 ohm transmission line could be matched to the 300 ohm feed point of an antenna:;by using a 4 to 1 impedance transformer;with an extra 250 ohm resistor;by using a 4 to 1 trigatron;by inserting a diode in one leg of the antenna;Une ligne de transmission de 75 ohms peut être adaptée à une antenne de 300 ohms :;en insérant un transformateur d'impédance à rapport 4:1;avec une résistance supplémentaire de 250 ohms;en insérant un trigatron à rapport 4:1;en insérant une diode dans l'une des branches de l'antenne
B-006-002-011;What kind of antenna transmission line can be constructed using two conductors which are maintained a uniform distance apart using insulated spreaders?;600 ohm open wire line;Coaxial cable;75 ohm twin-lead;300 ohm twin-lead;Quelle sorte de ligne de transmission peut être construite au moyen de deux conducteurs maintenus à une distance uniforme l'un de l'autre au moyen d'isolateurs?;La ligne ouverte de 600 ohms;Le câble coaxial;La ligne bifilaire de 75 ohms;La ligne bifilaire de 300 ohms
