B-008-004-002;What is meant by harmonic radiation?;Unwanted signals at frequencies which are multiples of the fundamental (chosen) frequency;Unwanted signals that are combined with a 60-Hz hum;Unwanted signals caused by sympathetic vibrations from a nearby transmitter;Signals which cause skip propagation to occur;Que veut dire le rayonnement d'harmoniques?;Un signal indésirable dont la fréquence est un multiple de la fréquence fondamentale d'opération;Un signal indésirable combiné à un ronflement de 60 Hz;Un signal indésirable dû à une résonance harmonique avec un émetteur situé à proximité;Un signal qui provoque une propagation par saut
B-008-004-003;Why is harmonic radiation from an amateur station not wanted?;It may cause interference to other stations and may result in out-of-band signals;It uses large amounts of electric power;It may cause sympathetic vibrations in nearby transmitters;It may cause auroras in the air;Pourquoi les harmoniques en provenance d'une station du service radioamateur sont-ils indésirables?;En raison de l'interférence faite aux autres stations et la possibilité d'émettre hors des bandes du service radioamateur;Parce qu'elles consomment énormément d'énergie électrique;Parce que ça pourrait causer une résonance harmonique dans les émetteurs situés à proximité;Parce que ça pourrait provoquer des aurores dans l'air
B-008-004-004;What type of interference may come from a multi-band antenna connected to a poorly tuned transmitter?;Harmonic radiation;Parasitic excitation;Intermodulation;Auroral distortion;Quel genre d'interférence peut provenir d'une antenne multibande branchée à un émetteur mal réglé?;Un rayonnement d'harmoniques;Une excitation parasite;De l'intermodulation;Une distorsion aurorale
B-008-004-005;If you are told your station was heard on 21 375 kHz, but at the time you were operating on 7125 kHz, what is one reason this could happen?;Your transmitter was radiating harmonic signals;Your transmitter's power-supply filter choke was bad;You were sending CW too fast;Your transmitter's power-supply filter capacitor was bad;On vous entend à 21 375 kHz, alors que vous émettez à 7 125 kHz. Comment expliquez-vous ce phénomène?;Votre émetteur rayonne des harmoniques;La bobine de filtrage de votre bloc d'alimentation fait défaut;Vous manipulez trop rapidement en CW;Le condensateur de filtrage de votre bloc d'alimentation fait défaut
B-008-004-006;What causes splatter interference?;Overmodulating a transmitter;Keying a transmitter too fast;Signals from a transmitter's output circuit are being sent back to its input circuit;The transmitting antenna is the wrong length;Quelle est la cause d'un brouillage sur des fréquences proches par élargissement des bandes ("splatter")?;Une modulation trop forte produite par l'émetteur;La manipulation trop rapide d'un émetteur;Le signal de sortie de l'émetteur se trouve bouclé vers son entrée;L'antenne d'émission n'est pas de la bonne longueur
B-008-004-007;Your amateur radio transmitter appears to be creating interference to the television on channel 3 (60-66 MHz) when you are transmitting on the 15 metre band. Other channels are not affected. The most likely cause is:;harmonic radiation from the transmitter;no high-pass filter on the TV;a bad ground at the transmitter;front-end overload of the TV;Un émetteur dans la bande de 15 mètres semble créer du brouillage sur le canal 3 d'un téléviseur (60-66 MHz). Les autres canaux ne sont pas perturbés. Choisissez la raison la plus probable :;un rayonnement harmonique venant de l'émetteur;l'absence d'un filtre passe-haut au téléviseur;une mauvaise mise à la terre de l'émetteur;une surcharge de l'étage d'entrée RF du téléviseur
B-008-004-008;One possible cause of TV interference by harmonics from an SSB transmitter is from "flat topping" - driving the power amplifier into non-linear operation. The most appropriate remedy for this is:;reduce microphone gain;retune transmitter output;use another antenna;reduce oscillator output;Une cause possible de brouillage des émissions de télévision par des harmoniques d'un émetteur BLU est l'écrêtage du signal dû à un amplificateur poussé hors de la partie linéaire de sa courbe de réponse. La solution la plus appropriée à ce problème consiste à :;diminuer le gain de l'amplificateur microphonique;resyntoniser la sortie de l'émetteur;changer d'antenne;diminuer le signal de sortie de l'oscillateur
B-008-004-009;In a transmitter, excessive harmonics are produced by:;overdriven stages;low SWR;resonant circuits;a linear amplifier;Un émetteur peut produire trop d'harmoniques :;s'il y a un signal d'attaque trop fort à l'entrée des étages;si son ROS est faible;dans ses circuits résonants;dans un amplificateur linéaire
B-008-004-010;An interfering signal from a transmitter is found to have a frequency of 57 MHz (TV Channel 2 is 54 - 60 MHz). This signal could be the:;second harmonic of a 10 metre transmission;crystal oscillator operating on its fundamental;seventh harmonic of an 80 metre transmission;third harmonic of a 15 metre transmission;Un brouillage provient d'un émetteur. La fréquence du signal brouilleur est de 57 MHz (le canal 2 de la télévision va de 54 à 60 MHz). Ce signal peut être :;le deuxième harmonique d'une émission sur 10 mètres;provoqué par un cristal fonctionnant à sa fréquence fondamentale;le septième harmonique d'une émission sur 80 mètres;le troisième harmonique d'une émission sur 15 mètres
B-008-004-011;Harmonics may be produced in the RF power amplifier of a transmitter if:;excessive drive signal is applied to it;the output tank circuit is tuned to the fundamental frequency;the oscillator frequency is unstable;modulation is applied to a high-level stage;Des harmoniques peuvent être produits dans l'amplificateur de puissance RF d'un émetteur si :;un signal d'attaque trop élevé est appliqué à cet amplificateur;le circuit résonant de sortie est accordé sur la fondamentale;la fréquence de l'oscillateur n'est pas stable;la modulation est appliquée sur un étage de puissance
B-008-005-001;What type of filter might be connected to an amateur HF transmitter to cut down on harmonic radiation?;A low pass filter;A key-click filter;A high pass filter;A CW filter;Quel genre de filtre peut-on brancher à un émetteur HF pour diminuer les harmoniques?;Un filtre passe-bas;Un filtre pour claquements de manipulation;Un filtre passe-haut;Un filtre CW
