B-002-002-002;What can you use as an aid for correct station identification when using phone?;The Standard International Phonetic Alphabet;Q signals;Unique words of your choice;A speech compressor;Comment pouvez-vous faciliter l'identification de votre station lorsque vous utilisez la phonie?;Par l'alphabet phonétique international;Par les codes "Q";Par des mots choisis à votre guise;Par un compresseur audio
B-002-002-003;What is the Standard International Phonetic for the letter A?;Alfa;Able;Adam;America;Comment se prononce la lettre A en alphabet phonétique international?;Alfa;Able;Adam;America
B-002-002-004;What is the Standard International Phonetic for the letter B?;Bravo;Brazil;Borneo;Baker;Comment se prononce la lettre B en alphabet phonétique international?;Bravo;Brazil;Borneo;Baker
B-002-002-005;What is the Standard International Phonetic for the letter D?;Delta;Dog;Denmark;David;Comment se prononce la lettre D en alphabet phonétique international?;Delta;Dog;Denmark;David
B-002-002-006;What is the Standard International Phonetic for the letter E?;Echo;Easy;Edward;England;Comment se prononce la lettre E en alphabet phonétique international?;Echo;Easy;Edward;England
B-002-002-007;What is the Standard International Phonetic for the letter G?;Golf;George;Germany;Gibraltar;Comment se prononce la lettre G en alphabet phonétique international?;Golf;George;Germany;Gibraltar
B-002-002-008;What is the Standard International Phonetic for the letter I?;India;Iran;Italy;Item;Comment se prononce la lettre I en alphabet phonétique international?;India;Iran;Italy;Item
B-002-002-009;What is the Standard International Phonetic for the letter L?;Lima;Love;London;Luxembourg;Comment se prononce la lettre L en alphabet phonétique international?;Lima;Love;London;Luxembourg
B-002-002-010;What is the Standard International Phonetic for the letter P?;Papa;Portugal;Paris;Peter;Comment se prononce la lettre P en alphabet phonétique international?;Papa;Portugal;Paris;Peter
B-002-002-011;What is the Standard International Phonetic for the letter R?;Romeo;Roger;Radio;Romania;Comment se prononce la lettre R en alphabet phonétique international?;Romeo;Roger;Radio;Romania
B-002-003-001;What is the correct way to call "CQ" when using voice ?;Say "CQ" three times, followed by "this is," followed by your call sign spoken three times;Say "CQ" once, followed by "this is," followed by your call sign spoken three times;Say "CQ" at least five times, followed by "this is," followed by your call sign spoken once;Say "CQ" at least ten times, followed by "this is," followed by your call sign spoken once;Comment doit-on lancer un "CQ" lorsqu'on utilise la téléphonie?;Dire "CQ" trois fois, le mot "ici", puis votre indicatif trois fois;Dire "CQ" une fois, le mot "ici", puis votre indicatif trois fois;Dire "CQ" au moins 5 fois, le mot "ici", puis votre indicatif une fois;Dire "CQ" au moins 10 fois, le mot "ici", puis votre indicatif une fois
B-002-003-002;How should you answer a voice CQ call?;Say the other station's call sign once, followed by "this is," then your call sign given phonetically;Say the other station's call sign at least five times phonetically, followed by "this is," then your call sign twice;Say the other station's call sign at least three times, followed by "this is," and your call sign at least five times phonetically;Say the other station's call sign at least ten times, followed by "this is," then your call sign at least twice;Comment doit-on répondre à un "CQ" en phonie?;Dire l'indicatif de la station qui appelle une fois, le mot "ici", puis votre indicatif en alphabet phonétique international;Dire l'indicatif de la station phonétiquement au moins 5 fois, le mot "ici", puis votre indicatif au moins 2 fois;Dire l'indicatif de la station au moins 3 fois, le mot "ici", puis votre indicatif donné phonétiquement au moins 5 fois;Dire l'indicatif de la station qui appelle au moins dix fois, le mot "ici", puis votre indicatif au moins 2 fois
B-002-003-003;What is simplex operation?;Transmitting and receiving on the same frequency;Transmitting and receiving over a wide area;Transmitting on one frequency and receiving on another;Transmitting one-way communications;Qu'est-ce qu'une communication en simplex?;C'est une communication où la fréquence d'émission est la même que la fréquence de réception;C'est une transmission et une réception couvrant une grande surface;C'est une communication où les fréquences d'émission et de réception sont distinctes;C'est une transmission à sens unique
B-002-003-004;When should you consider using simplex operation instead of a repeater?;When signals are reliable between communicating parties without using a repeater;When the most reliable communications are needed;When an emergency telephone call is needed;When you are traveling and need some local information;Quand devriez-vous considérer une communication simplex plutôt que par l'entremise d'un répéteur?;Quand une communication fiable est possible entre tous les participants sans utiliser le répéteur;Quand il est nécessaire d'avoir des communications fiables;Quand vous devez faire un appel téléphonique urgent;Lorsque vous voyagez et que vous avez besoin de renseignements locaux
